'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:05.627',-0.100,-0.030,0.069,0.065,-0.084,0.019,0.022,-0.035,0.069,0.150,0.135,0.116,-0.022,0.169,-0.132
'0:05.628',-0.104,-0.021,0.082,0.062,-0.092,0.030,0.022,-0.035,0.070,0.154,0.141,0.117,-0.024,0.182,-0.132
'0:05.629',-0.086,-0.009,0.075,0.048,-0.081,0.033,0.023,-0.035,0.071,0.156,0.144,0.120,-0.019,0.187,-0.133
'0:05.630',-0.081,-0.017,0.064,0.049,-0.071,0.023,0.010,-0.043,0.064,0.148,0.135,0.115,-0.015,0.182,-0.130
'0:05.631',-0.100,-0.028,0.072,0.064,-0.086,0.021,0.001,-0.046,0.064,0.147,0.135,0.114,-0.015,0.188,-0.129
'0:05.632',-0.100,-0.021,0.079,0.060,-0.088,0.029,-0.009,-0.047,0.065,0.151,0.140,0.118,-0.011,0.196,-0.126
'0:05.633',-0.101,-0.016,0.085,0.059,-0.093,0.034,-0.013,-0.048,0.070,0.155,0.143,0.121,-0.012,0.193,-0.122
'0:05.634',-0.088,-0.018,0.070,0.053,-0.079,0.025,-0.021,-0.054,0.067,0.152,0.139,0.118,-0.010,0.185,-0.123
'0:05.635',-0.076,-0.018,0.058,0.047,-0.067,0.020,-0.029,-0.054,0.064,0.149,0.136,0.117,-0.006,0.179,-0.123
'0:05.636',-0.079,-0.016,0.062,0.048,-0.070,0.023,-0.034,-0.056,0.064,0.148,0.134,0.118,-0.008,0.185,-0.122
'0:05.637',-0.081,-0.011,0.070,0.046,-0.074,0.029,-0.045,-0.058,0.066,0.151,0.138,0.126,-0.003,0.185,-0.118
'0:05.638',-0.068,-0.007,0.060,0.037,-0.064,0.026,-0.062,-0.065,0.066,0.153,0.141,0.128,-0.001,0.175,-0.114
'0:05.639',-0.071,-0.017,0.054,0.044,-0.062,0.018,-0.074,-0.072,0.060,0.150,0.138,0.127,0.002,0.171,-0.107
'0:05.640',-0.072,-0.038,0.035,0.055,-0.053,-0.002,-0.085,-0.078,0.051,0.142,0.128,0.117,0.005,0.165,-0.103
'0:05.641',-0.059,-0.046,0.013,0.052,-0.036,-0.017,-0.095,-0.084,0.042,0.134,0.121,0.111,0.008,0.153,-0.100
'0:05.642',-0.073,-0.053,0.020,0.063,-0.046,-0.017,-0.093,-0.080,0.045,0.136,0.124,0.114,0.011,0.141,-0.090
'0:05.643',-0.045,-0.036,0.009,0.041,-0.028,-0.013,-0.092,-0.074,0.050,0.141,0.127,0.119,0.014,0.143,-0.087
'0:05.644',-0.041,-0.033,0.009,0.037,-0.025,-0.012,-0.099,-0.076,0.050,0.141,0.130,0.123,0.019,0.143,-0.086
'0:05.645',-0.066,-0.043,0.024,0.054,-0.044,-0.010,-0.102,-0.084,0.047,0.140,0.132,0.122,0.022,0.148,-0.085
'0:05.646',-0.058,-0.032,0.026,0.044,-0.042,-0.003,-0.103,-0.083,0.051,0.143,0.137,0.129,0.023,0.155,-0.082
'0:05.647',-0.053,-0.030,0.024,0.042,-0.038,-0.004,-0.112,-0.085,0.051,0.144,0.137,0.128,0.025,0.157,-0.075
'0:05.648',-0.034,-0.013,0.021,0.024,-0.027,0.004,-0.110,-0.081,0.056,0.150,0.141,0.132,0.028,0.158,-0.074
'0:05.649',-0.029,-0.004,0.025,0.016,-0.026,0.010,-0.106,-0.077,0.058,0.151,0.143,0.136,0.029,0.155,-0.072
'0:05.650',-0.049,-0.008,0.041,0.029,-0.044,0.016,-0.107,-0.079,0.058,0.153,0.146,0.136,0.026,0.159,-0.071
'0:05.651',-0.069,-0.013,0.056,0.041,-0.062,0.021,-0.103,-0.075,0.062,0.158,0.149,0.138,0.027,0.163,-0.071
'0:05.652',-0.045,-0.006,0.039,0.025,-0.042,0.017,-0.105,-0.079,0.058,0.153,0.143,0.135,0.031,0.169,-0.070
'0:05.653',-0.021,0.007,0.029,0.007,-0.025,0.018,-0.104,-0.082,0.052,0.148,0.142,0.132,0.027,0.170,-0.066
'0:05.654',-0.048,-0.021,0.027,0.035,-0.037,0.003,-0.111,-0.094,0.037,0.135,0.132,0.122,0.024,0.165,-0.064
'0:05.655',-0.040,-0.021,0.018,0.030,-0.029,-0.001,-0.116,-0.101,0.030,0.130,0.129,0.123,0.023,0.163,-0.065
'0:05.656',-0.051,-0.011,0.040,0.032,-0.045,0.014,-0.111,-0.100,0.033,0.135,0.135,0.129,0.022,0.160,-0.061
'0:05.657',-0.059,-0.020,0.039,0.040,-0.049,0.009,-0.118,-0.106,0.025,0.128,0.131,0.122,0.021,0.167,-0.061
'0:05.658',-0.037,-0.015,0.022,0.026,-0.029,0.004,-0.120,-0.111,0.018,0.123,0.128,0.122,0.021,0.171,-0.061
'0:05.659',-0.041,-0.014,0.027,0.028,-0.034,0.006,-0.117,-0.112,0.019,0.129,0.133,0.128,0.024,0.170,-0.059
'0:05.660',-0.043,-0.012,0.031,0.028,-0.036,0.009,-0.116,-0.106,0.025,0.132,0.141,0.134,0.025,0.173,-0.057
'0:05.661',-0.032,-0.006,0.025,0.019,-0.028,0.009,-0.113,-0.102,0.027,0.135,0.142,0.135,0.025,0.173,-0.057
'0:05.662',-0.022,0.009,0.031,0.006,-0.026,0.020,-0.105,-0.098,0.032,0.142,0.148,0.141,0.023,0.172,-0.056
'0:05.663',-0.045,0.006,0.052,0.019,-0.049,0.029,-0.096,-0.093,0.035,0.145,0.152,0.146,0.021,0.176,-0.059
'0:05.664',-0.050,-0.008,0.042,0.029,-0.045,0.017,-0.101,-0.102,0.023,0.136,0.142,0.133,0.017,0.180,-0.065
'0:05.665',-0.065,-0.017,0.049,0.041,-0.056,0.016,-0.107,-0.110,0.015,0.127,0.134,0.127,0.015,0.183,-0.067
'0:05.666',-0.085,-0.026,0.059,0.056,-0.071,0.016,-0.111,-0.117,0.009,0.123,0.131,0.123,0.015,0.188,-0.068
'0:05.667',-0.080,-0.029,0.051,0.054,-0.066,0.011,-0.116,-0.125,0.002,0.117,0.128,0.120,0.015,0.190,-0.065
'0:05.668',-0.086,-0.017,0.069,0.051,-0.076,0.026,-0.107,-0.117,0.013,0.128,0.138,0.131,0.018,0.190,-0.064
'0:05.669',-0.085,-0.015,0.070,0.050,-0.076,0.027,-0.104,-0.115,0.015,0.132,0.141,0.134,0.023,0.194,-0.064
'0:05.670',-0.074,-0.022,0.052,0.049,-0.064,0.015,-0.114,-0.120,0.007,0.121,0.130,0.124,0.024,0.194,-0.058
'0:05.671',-0.070,-0.021,0.048,0.045,-0.058,0.013,-0.115,-0.117,0.005,0.120,0.130,0.122,0.024,0.185,-0.051
'0:05.672',-0.072,-0.006,0.066,0.039,-0.069,0.029,-0.107,-0.103,0.018,0.132,0.146,0.133,0.025,0.183,-0.056
'0:05.673',-0.072,0.004,0.077,0.034,-0.074,0.041,-0.102,-0.098,0.027,0.138,0.149,0.136,0.024,0.182,-0.058
'0:05.674',-0.054,-0.011,0.043,0.033,-0.048,0.015,-0.100,-0.104,0.013,0.126,0.136,0.126,0.025,0.167,-0.051
'0:05.675',-0.050,-0.023,0.027,0.036,-0.038,0.002,-0.098,-0.102,0.010,0.121,0.130,0.129,0.030,0.152,-0.048
'0:05.676',-0.018,-0.012,0.005,0.015,-0.011,-0.004,-0.104,-0.105,0.011,0.121,0.130,0.126,0.029,0.151,-0.046
'0:05.677',0.007,-0.014,-0.022,0.004,0.015,-0.018,-0.123,-0.117,-0.002,0.112,0.120,0.115,0.030,0.157,-0.047
'0:05.678',-0.018,-0.035,-0.017,0.026,0.000,-0.025,-0.118,-0.120,-0.006,0.107,0.116,0.115,0.033,0.160,-0.046
'0:05.679',-0.021,-0.033,-0.011,0.027,-0.004,-0.022,-0.101,-0.114,-0.001,0.113,0.120,0.117,0.029,0.163,-0.049
'0:05.680',-0.041,-0.029,0.012,0.035,-0.026,-0.009,-0.093,-0.104,0.007,0.119,0.125,0.123,0.028,0.164,-0.053
'0:05.681',-0.042,-0.030,0.012,0.036,-0.027,-0.009,-0.090,-0.101,0.007,0.118,0.126,0.122,0.028,0.165,-0.053
'0:05.682',-0.044,-0.035,0.010,0.040,-0.026,-0.013,-0.085,-0.097,0.011,0.118,0.123,0.121,0.026,0.160,-0.054
'0:05.683',-0.048,-0.035,0.013,0.042,-0.030,-0.011,-0.080,-0.093,0.012,0.122,0.124,0.126,0.025,0.157,-0.057
'0:05.684',-0.049,-0.044,0.004,0.046,-0.026,-0.021,-0.084,-0.097,0.006,0.115,0.119,0.119,0.021,0.158,-0.059
'0:05.685',-0.061,-0.044,0.017,0.052,-0.038,-0.015,-0.074,-0.090,0.012,0.117,0.121,0.118,0.018,0.145,-0.061
'0:05.686',-0.043,-0.030,0.013,0.037,-0.028,-0.009,-0.066,-0.082,0.018,0.123,0.125,0.124,0.018,0.141,-0.060
'0:05.687',-0.059,-0.051,0.007,0.055,-0.033,-0.022,-0.068,-0.084,0.013,0.117,0.117,0.118,0.018,0.139,-0.059
'0:05.688',-0.087,-0.072,0.015,0.080,-0.051,-0.029,-0.071,-0.089,0.007,0.112,0.112,0.108,0.016,0.141,-0.059
'0:05.689',-0.098,-0.074,0.024,0.086,-0.060,-0.025,-0.068,-0.092,0.004,0.108,0.111,0.105,0.012,0.142,-0.056
'0:05.690',-0.094,-0.065,0.029,0.079,-0.061,-0.018,-0.059,-0.086,0.008,0.112,0.115,0.110,0.012,0.130,-0.054
'0:05.691',-0.118,-0.087,0.031,0.102,-0.074,-0.029,-0.061,-0.090,-0.002,0.102,0.107,0.101,0.013,0.127,-0.053
'0:05.692',-0.141,-0.115,0.026,0.128,-0.084,-0.044,-0.063,-0.093,-0.008,0.095,0.096,0.089,0.011,0.118,-0.056
'0:05.693',-0.128,-0.107,0.020,0.117,-0.073,-0.043,-0.061,-0.086,-0.004,0.096,0.096,0.089,0.009,0.104,-0.057
'0:05.694',-0.130,-0.111,0.019,0.120,-0.074,-0.045,-0.049,-0.079,-0.001,0.100,0.100,0.091,0.007,0.090,-0.060
'0:05.695',-0.129,-0.114,0.015,0.121,-0.071,-0.050,-0.038,-0.073,0.003,0.103,0.102,0.094,0.004,0.087,-0.064
'0:05.696',-0.125,-0.119,0.005,0.122,-0.065,-0.057,-0.043,-0.079,-0.004,0.097,0.096,0.088,0.004,0.090,-0.064
'0:05.697',-0.123,-0.118,0.005,0.120,-0.064,-0.057,-0.043,-0.076,-0.004,0.097,0.096,0.087,0.004,0.088,-0.064
'0:05.698',-0.102,-0.118,-0.017,0.110,-0.042,-0.068,-0.048,-0.081,-0.011,0.090,0.089,0.080,0.003,0.083,-0.061
'0:05.699',-0.083,-0.122,-0.039,0.102,-0.021,-0.081,-0.053,-0.086,-0.017,0.084,0.083,0.073,0.001,0.076,-0.060
'0:05.700',-0.096,-0.121,-0.025,0.108,-0.035,-0.073,-0.049,-0.081,-0.015,0.087,0.088,0.081,0.002,0.074,-0.059
'0:05.701',-0.109,-0.123,-0.014,0.116,-0.047,-0.069,-0.040,-0.077,-0.011,0.087,0.088,0.081,-0.002,0.077,-0.060
'0:05.702',-0.110,-0.128,-0.018,0.118,-0.046,-0.072,-0.036,-0.075,-0.009,0.089,0.087,0.077,-0.004,0.071,-0.060
'0:05.703',-0.102,-0.129,-0.026,0.116,-0.037,-0.077,-0.034,-0.069,-0.006,0.091,0.087,0.078,-0.004,0.067,-0.059
'0:05.704',-0.099,-0.126,-0.027,0.113,-0.035,-0.076,-0.029,-0.067,-0.006,0.091,0.085,0.076,-0.005,0.072,-0.062
'0:05.705',-0.098,-0.119,-0.021,0.109,-0.038,-0.070,-0.025,-0.064,-0.005,0.090,0.085,0.075,-0.007,0.060,-0.063
'0:05.706',-0.093,-0.114,-0.021,0.103,-0.035,-0.068,-0.021,-0.056,-0.001,0.093,0.088,0.074,-0.013,0.058,-0.066
'0:05.707',-0.123,-0.137,-0.015,0.130,-0.054,-0.076,-0.024,-0.061,-0.009,0.088,0.082,0.068,-0.013,0.057,-0.066
'0:05.708',-0.145,-0.157,-0.011,0.151,-0.067,-0.084,-0.030,-0.068,-0.015,0.081,0.075,0.062,-0.011,0.050,-0.064
'0:05.709',-0.150,-0.155,-0.004,0.152,-0.073,-0.080,-0.029,-0.067,-0.014,0.081,0.075,0.062,-0.011,0.058,-0.063
'0:05.710',-0.142,-0.150,-0.007,0.146,-0.067,-0.079,-0.031,-0.070,-0.017,0.079,0.073,0.061,-0.011,0.054,-0.060
'0:05.711',-0.130,-0.140,-0.011,0.135,-0.059,-0.075,-0.033,-0.069,-0.013,0.083,0.076,0.065,-0.009,0.056,-0.059
'0:05.712',-0.129,-0.128,0.001,0.129,-0.065,-0.064,-0.022,-0.064,-0.010,0.087,0.082,0.072,-0.007,0.064,-0.058
'0:05.713',-0.128,-0.127,0.001,0.128,-0.064,-0.064,-0.024,-0.066,-0.013,0.084,0.080,0.070,-0.009,0.060,-0.056
'0:05.714',-0.139,-0.137,0.002,0.138,-0.070,-0.068,-0.026,-0.066,-0.013,0.084,0.082,0.069,-0.013,0.053,-0.056
'0:05.715',-0.134,-0.141,-0.007,0.137,-0.063,-0.074,-0.025,-0.065,-0.011,0.085,0.081,0.068,-0.012,0.048,-0.057
'0:05.716',-0.131,-0.141,-0.009,0.136,-0.060,-0.075,-0.026,-0.070,-0.015,0.083,0.081,0.066,-0.010,0.050,-0.058
'0:05.717',-0.118,-0.136,-0.018,0.128,-0.050,-0.077,-0.028,-0.071,-0.018,0.080,0.075,0.064,-0.009,0.057,-0.056
'0:05.718',-0.107,-0.139,-0.032,0.123,-0.037,-0.086,-0.031,-0.071,-0.021,0.075,0.069,0.061,-0.008,0.060,-0.056
'0:05.719',-0.122,-0.142,-0.020,0.132,-0.051,-0.082,-0.025,-0.067,-0.014,0.081,0.075,0.065,-0.011,0.053,-0.058
'0:05.720',-0.100,-0.134,-0.034,0.117,-0.033,-0.085,-0.026,-0.068,-0.017,0.081,0.073,0.066,-0.009,0.049,-0.056
'0:05.721',-0.107,-0.135,-0.027,0.120,-0.040,-0.081,-0.028,-0.069,-0.018,0.080,0.076,0.066,-0.009,0.051,-0.055
'0:05.722',-0.129,-0.142,-0.013,0.136,-0.058,-0.079,-0.024,-0.068,-0.014,0.085,0.080,0.066,-0.011,0.047,-0.056
'0:05.723',-0.118,-0.148,-0.030,0.134,-0.044,-0.089,-0.028,-0.072,-0.021,0.080,0.074,0.059,-0.011,0.045,-0.058
'0:05.724',-0.116,-0.144,-0.029,0.130,-0.043,-0.087,-0.029,-0.071,-0.019,0.080,0.076,0.059,-0.013,0.049,-0.059
'0:05.725',-0.117,-0.136,-0.018,0.127,-0.050,-0.077,-0.024,-0.070,-0.015,0.086,0.083,0.067,-0.009,0.052,-0.057
'0:05.726',-0.128,-0.126,0.002,0.127,-0.065,-0.062,-0.014,-0.063,-0.011,0.092,0.090,0.079,-0.008,0.058,-0.057
'0:05.727',-0.122,-0.135,-0.013,0.129,-0.054,-0.074,-0.022,-0.070,-0.016,0.082,0.080,0.070,-0.009,0.053,-0.055
'0:05.728',-0.120,-0.149,-0.029,0.135,-0.046,-0.089,-0.031,-0.079,-0.025,0.074,0.072,0.060,-0.009,0.057,-0.057
'0:05.729',-0.118,-0.128,-0.010,0.123,-0.054,-0.069,-0.018,-0.070,-0.015,0.086,0.084,0.072,-0.009,0.054,-0.059
'0:05.730',-0.111,-0.117,-0.006,0.114,-0.052,-0.062,-0.015,-0.066,-0.011,0.088,0.087,0.075,-0.010,0.040,-0.058
'0:05.731',-0.114,-0.124,-0.010,0.119,-0.051,-0.067,-0.020,-0.068,-0.018,0.084,0.081,0.070,-0.009,0.051,-0.057
'0:05.732',-0.105,-0.130,-0.024,0.117,-0.041,-0.076,-0.025,-0.074,-0.025,0.075,0.072,0.061,-0.011,0.054,-0.059
'0:05.733',-0.110,-0.124,-0.015,0.117,-0.046,-0.070,-0.022,-0.072,-0.018,0.079,0.075,0.065,-0.011,0.050,-0.059
'0:05.734',-0.128,-0.134,-0.006,0.131,-0.061,-0.070,-0.019,-0.072,-0.018,0.083,0.082,0.073,-0.008,0.050,-0.057
'0:05.735',-0.135,-0.157,-0.022,0.146,-0.056,-0.089,-0.026,-0.077,-0.025,0.074,0.074,0.065,-0.010,0.038,-0.059
'0:05.736',-0.136,-0.158,-0.022,0.146,-0.057,-0.090,-0.029,-0.077,-0.026,0.073,0.073,0.062,-0.012,0.036,-0.059
'0:05.737',-0.120,-0.146,-0.026,0.133,-0.046,-0.087,-0.028,-0.076,-0.025,0.075,0.077,0.066,-0.011,0.043,-0.059
'0:05.738',-0.130,-0.141,-0.012,0.136,-0.059,-0.077,-0.021,-0.069,-0.016,0.085,0.086,0.074,-0.010,0.045,-0.059
'0:05.739',-0.124,-0.137,-0.012,0.131,-0.056,-0.074,-0.016,-0.063,-0.015,0.086,0.088,0.073,-0.013,0.046,-0.059
'0:05.740',-0.116,-0.139,-0.023,0.127,-0.046,-0.081,-0.018,-0.063,-0.015,0.085,0.087,0.066,-0.017,0.049,-0.060
'0:05.741',-0.138,-0.143,-0.006,0.141,-0.066,-0.075,-0.016,-0.060,-0.009,0.090,0.090,0.070,-0.017,0.048,-0.063
'0:05.742',-0.105,-0.137,-0.032,0.121,-0.036,-0.085,-0.022,-0.065,-0.015,0.086,0.085,0.064,-0.017,0.040,-0.064
'0:05.743',-0.111,-0.147,-0.036,0.130,-0.037,-0.092,-0.027,-0.070,-0.020,0.081,0.079,0.060,-0.017,0.040,-0.064
'0:05.744',-0.114,-0.141,-0.028,0.127,-0.043,-0.085,-0.026,-0.068,-0.018,0.082,0.080,0.064,-0.017,0.049,-0.063
'0:05.745',-0.102,-0.128,-0.025,0.115,-0.039,-0.076,-0.025,-0.067,-0.016,0.083,0.083,0.065,-0.018,0.050,-0.061
'0:05.746',-0.130,-0.142,-0.012,0.136,-0.059,-0.077,-0.022,-0.065,-0.015,0.083,0.082,0.066,-0.015,0.046,-0.064
'0:05.747',-0.125,-0.142,-0.017,0.134,-0.053,-0.080,-0.029,-0.070,-0.019,0.081,0.079,0.062,-0.018,0.049,-0.064
'0:05.748',-0.132,-0.141,-0.009,0.137,-0.061,-0.075,-0.028,-0.069,-0.016,0.083,0.082,0.060,-0.021,0.043,-0.064
'0:05.749',-0.152,-0.153,-0.001,0.153,-0.076,-0.077,-0.029,-0.070,-0.018,0.079,0.080,0.056,-0.021,0.043,-0.065
'0:05.750',-0.148,-0.146,0.003,0.147,-0.075,-0.072,-0.029,-0.070,-0.018,0.078,0.078,0.059,-0.018,0.052,-0.062
'0:05.751',-0.131,-0.138,-0.007,0.135,-0.061,-0.073,-0.028,-0.067,-0.015,0.081,0.076,0.065,-0.014,0.057,-0.062
'0:05.752',-0.128,-0.139,-0.011,0.133,-0.059,-0.075,-0.032,-0.071,-0.019,0.074,0.075,0.062,-0.015,0.057,-0.062
'0:05.753',-0.140,-0.137,0.003,0.139,-0.071,-0.068,-0.028,-0.072,-0.019,0.075,0.077,0.064,-0.017,0.054,-0.062
'0:05.754',-0.138,-0.138,0.001,0.138,-0.069,-0.069,-0.022,-0.074,-0.019,0.076,0.076,0.061,-0.021,0.050,-0.065
'0:05.755',-0.139,-0.139,0.000,0.139,-0.069,-0.070,-0.015,-0.068,-0.012,0.081,0.077,0.060,-0.024,0.051,-0.069
'0:05.756',-0.150,-0.140,0.011,0.145,-0.080,-0.065,-0.006,-0.061,-0.006,0.085,0.080,0.061,-0.028,0.055,-0.074
'0:05.757',-0.151,-0.143,0.009,0.147,-0.080,-0.067,-0.001,-0.062,-0.010,0.079,0.074,0.056,-0.032,0.056,-0.078
'0:05.758',-0.164,-0.154,0.010,0.159,-0.086,-0.072,0.012,-0.056,-0.007,0.077,0.068,0.049,-0.037,0.052,-0.083
'0:05.759',-0.178,-0.158,0.020,0.168,-0.099,-0.069,0.033,-0.044,-0.002,0.078,0.068,0.048,-0.043,0.043,-0.086
'0:05.760',-0.198,-0.167,0.031,0.182,-0.114,-0.068,0.057,-0.030,-0.002,0.072,0.067,0.044,-0.053,0.034,-0.086
'0:05.761',-0.212,-0.187,0.025,0.200,-0.118,-0.081,0.072,-0.024,-0.009,0.059,0.051,0.030,-0.065,0.029,-0.087
'0:05.762',-0.206,-0.203,0.003,0.205,-0.104,-0.101,0.088,-0.019,-0.023,0.037,0.028,0.010,-0.081,0.015,-0.085
'0:05.763',-0.210,-0.222,-0.011,0.216,-0.100,-0.117,0.115,0.005,-0.025,0.024,0.013,-0.005,-0.093,0.005,-0.082
'0:05.764',-0.226,-0.242,-0.016,0.234,-0.105,-0.129,0.139,0.029,-0.027,0.009,-0.006,-0.021,-0.102,-0.010,-0.076
'0:05.765',-0.242,-0.267,-0.025,0.255,-0.108,-0.146,0.155,0.043,-0.038,-0.013,-0.029,-0.042,-0.115,-0.032,-0.071
'0:05.766',-0.222,-0.265,-0.043,0.243,-0.088,-0.154,0.183,0.068,-0.036,-0.023,-0.040,-0.051,-0.122,-0.052,-0.068
'0:05.767',-0.233,-0.273,-0.041,0.253,-0.096,-0.157,0.217,0.104,-0.019,-0.022,-0.046,-0.058,-0.131,-0.064,-0.067
'0:05.768',-0.289,-0.328,-0.039,0.308,-0.125,-0.183,0.236,0.133,-0.009,-0.030,-0.064,-0.081,-0.139,-0.077,-0.074
'0:05.769',-0.311,-0.355,-0.045,0.333,-0.133,-0.201,0.261,0.164,0.011,-0.029,-0.077,-0.095,-0.148,-0.091,-0.085
'0:05.770',-0.312,-0.350,-0.038,0.332,-0.137,-0.195,0.293,0.206,0.049,-0.008,-0.070,-0.095,-0.154,-0.100,-0.096
'0:05.771',-0.294,-0.344,-0.051,0.319,-0.121,-0.198,0.319,0.248,0.094,0.017,-0.067,-0.096,-0.150,-0.113,-0.105
'0:05.772',-0.287,-0.349,-0.062,0.319,-0.113,-0.206,0.345,0.296,0.148,0.044,-0.065,-0.101,-0.148,-0.121,-0.117
'0:05.773',-0.272,-0.352,-0.081,0.312,-0.096,-0.217,0.379,0.355,0.200,0.066,-0.065,-0.108,-0.151,-0.145,-0.124
'0:05.774',-0.257,-0.370,-0.114,0.314,-0.071,-0.242,0.402,0.418,0.256,0.084,-0.073,-0.118,-0.147,-0.161,-0.134
'0:05.775',-0.287,-0.407,-0.120,0.347,-0.083,-0.264,0.410,0.467,0.316,0.117,-0.067,-0.122,-0.136,-0.166,-0.142
'0:05.776',-0.263,-0.416,-0.153,0.340,-0.055,-0.284,0.412,0.502,0.362,0.144,-0.065,-0.129,-0.125,-0.186,-0.147
'0:05.777',-0.243,-0.414,-0.170,0.329,-0.036,-0.292,0.433,0.562,0.420,0.174,-0.059,-0.128,-0.117,-0.203,-0.151
'0:05.778',-0.212,-0.409,-0.197,0.311,-0.007,-0.303,0.447,0.615,0.478,0.205,-0.051,-0.126,-0.108,-0.218,-0.152
'0:05.779',-0.125,-0.390,-0.265,0.258,0.070,-0.328,0.434,0.654,0.547,0.246,-0.044,-0.128,-0.086,-0.221,-0.163
'0:05.780',-0.096,-0.373,-0.277,0.234,0.091,-0.325,0.448,0.734,0.645,0.308,-0.015,-0.110,-0.059,-0.221,-0.172
'0:05.781',-0.086,-0.387,-0.300,0.237,0.107,-0.344,0.440,0.783,0.711,0.346,0.000,-0.103,-0.035,-0.231,-0.171
'0:05.782',-0.066,-0.414,-0.348,0.240,0.141,-0.382,0.431,0.845,0.808,0.405,0.011,-0.104,-0.010,-0.246,-0.177
'0:05.783',-0.030,-0.415,-0.385,0.223,0.177,-0.401,0.449,0.927,0.932,0.479,0.027,-0.096,0.014,-0.255,-0.192
'0:05.784',0.011,-0.399,-0.409,0.194,0.210,-0.404,0.450,0.985,1.040,0.551,0.052,-0.082,0.043,-0.254,-0.203
'0:05.785',0.038,-0.391,-0.429,0.176,0.234,-0.410,0.447,1.048,1.151,0.618,0.076,-0.070,0.069,-0.265,-0.213
'0:05.786',0.086,-0.376,-0.462,0.145,0.274,-0.419,0.432,1.097,1.248,0.682,0.100,-0.056,0.099,-0.268,-0.218
'0:05.787',0.135,-0.362,-0.497,0.114,0.316,-0.429,0.406,1.138,1.343,0.754,0.128,-0.037,0.137,-0.268,-0.218
'0:05.788',0.176,-0.350,-0.527,0.087,0.352,-0.439,0.384,1.175,1.429,0.818,0.153,-0.021,0.170,-0.266,-0.222
'0:05.789',0.226,-0.334,-0.560,0.054,0.393,-0.447,0.349,1.188,1.511,0.888,0.185,-0.002,0.204,-0.261,-0.225
'0:05.790',0.268,-0.318,-0.586,0.025,0.427,-0.453,0.316,1.200,1.610,0.968,0.217,0.021,0.240,-0.252,-0.235
'0:05.791',0.311,-0.296,-0.608,-0.008,0.460,-0.452,0.293,1.212,1.683,1.018,0.235,0.038,0.265,-0.240,-0.237
'0:05.792',0.351,-0.288,-0.639,-0.032,0.495,-0.464,0.269,1.203,1.704,1.026,0.230,0.042,0.277,-0.244,-0.224
'0:05.793',0.371,-0.278,-0.649,-0.047,0.510,-0.464,0.240,1.190,1.738,1.042,0.232,0.050,0.289,-0.240,-0.212
'0:05.794',0.385,-0.264,-0.649,-0.060,0.517,-0.457,0.200,1.153,1.752,1.052,0.235,0.061,0.301,-0.227,-0.202
'0:05.795',0.400,-0.246,-0.646,-0.077,0.523,-0.447,0.156,1.085,1.736,1.063,0.242,0.076,0.310,-0.213,-0.197
'0:05.796',0.406,-0.227,-0.632,-0.090,0.519,-0.429,0.106,1.004,1.714,1.065,0.253,0.092,0.319,-0.194,-0.186
'0:05.797',0.416,-0.200,-0.616,-0.108,0.516,-0.407,0.048,0.879,1.637,1.031,0.257,0.111,0.326,-0.162,-0.165
'0:05.798',0.421,-0.175,-0.596,-0.123,0.508,-0.386,0.000,0.752,1.539,0.990,0.260,0.129,0.329,-0.143,-0.141
'0:05.799',0.422,-0.166,-0.588,-0.129,0.505,-0.377,-0.049,0.650,1.440,0.932,0.246,0.137,0.328,-0.138,-0.107
'0:05.800',0.416,-0.170,-0.586,-0.123,0.501,-0.378,-0.093,0.542,1.329,0.865,0.224,0.133,0.320,-0.119,-0.071
'0:05.801',0.396,-0.179,-0.576,-0.108,0.486,-0.378,-0.122,0.429,1.194,0.769,0.184,0.122,0.296,-0.112,-0.036
'0:05.802',0.377,-0.178,-0.555,-0.100,0.467,-0.367,-0.156,0.265,0.965,0.635,0.148,0.117,0.265,-0.110,0.015
'0:05.803',0.337,-0.182,-0.518,-0.077,0.427,-0.351,-0.198,0.049,0.659,0.476,0.110,0.109,0.229,-0.098,0.066
'0:05.804',0.278,-0.197,-0.474,-0.040,0.376,-0.336,-0.223,-0.132,0.346,0.278,0.050,0.091,0.179,-0.082,0.123
'0:05.805',0.234,-0.224,-0.457,-0.005,0.345,-0.341,-0.226,-0.236,0.089,0.081,-0.015,0.068,0.138,-0.076,0.183
'0:05.806',0.211,-0.263,-0.474,0.025,0.343,-0.369,-0.220,-0.301,-0.134,-0.111,-0.089,0.034,0.096,-0.107,0.251
'0:05.807',0.189,-0.296,-0.485,0.054,0.337,-0.391,-0.207,-0.358,-0.317,-0.269,-0.154,0.001,0.048,-0.139,0.306
'0:05.808',0.168,-0.334,-0.501,0.084,0.335,-0.418,-0.197,-0.400,-0.445,-0.384,-0.205,-0.029,0.014,-0.159,0.345
'0:05.809',0.148,-0.372,-0.520,0.112,0.335,-0.447,-0.190,-0.423,-0.545,-0.479,-0.255,-0.051,-0.007,-0.165,0.381
'0:05.810',0.152,-0.380,-0.532,0.114,0.343,-0.457,-0.197,-0.443,-0.589,-0.516,-0.272,-0.059,-0.015,-0.165,0.396
'0:05.811',0.169,-0.393,-0.561,0.112,0.365,-0.477,-0.201,-0.443,-0.588,-0.522,-0.283,-0.070,-0.018,-0.194,0.403
